title,kinguin_id,bitloot_id,price,is_new
"Call of Duty: Black Ops III Zombies Chronicles Edition PS5 Account",6978a68bf5c559298bfef009,e722d333-591f-429c-9223-28d3d7dda71b,21.24,true
"Call of Duty: Advanced Warfare US PS4 CD Key",5e8717c3d9f56e2d4e20106d,80d9abef-bda1-4c34-ad23-ca61cf9f4942,34.55,true
"Codex Lost NA PS5 CD Key",674c861eb816f5d55e6dbfc2,4b871733-a51a-4bac-aeca-110b001c6f4f,18.89,true
"Call of Duty: Black Ops 7 Vault Edition NA PS4/PS5 CD Key",6917285a707323535f800964,561386c0-ba7c-41bb-9b97-3bacc772800f,110,true
"ENCODYA US PS4 CD Key",6221ae7b9e44a1f37687b864,f2ffa4a2-c824-49bf-9b0e-1974ede23871,4.99,true
"Call of Duty: Black Ops 7 Vault Edition US PS4/PS5 CD Key",691c0d0407b6d95fa856ddbb,8b97a619-90af-4333-999f-5b4b80fd497e,85.82,true
"Call of Duty: Modern Warfare II Cross-Gen Bundle EU PS4/PS5 CD Key",63f49301e807f3e1a88fc719,7f6715ae-43dd-4c31-aa03-965c943c03ea,56.95,true
"Call of Duty: Black Ops 7 Vault Edition EU PS5 CD Key",69148fd360d6c749e374afdc,7e147361-f256-4caa-9f42-fff8fede0ecb,132.08,true
"Call of Duty: Black Ops 7 Cross-Gen Bundle EU PS4/PS5 CD Key",690ae9c3d810741208914950,80f7bd4d-b2c4-4ac5-a84f-a8b879617b10,102.35,true
"CODE VEIN II Ultimate Edition EU PS5 CD Key",696dcb9febea272c1f02275a,4054f5ed-afc6-4ffd-8501-58444714e3d1,84.9,true
"Marvel's Spider-Man: Miles Morales Ultimate Edition PS4 Account",643b14095dd4040001a30b6a,3be5e0eb-85f3-4c54-b8fa-6fdc8732093f,9.88,true
"Marvel's Spider-Man: Miles Morales PS4 Account",64ab9798098a615a69f8fb1a,d47defda-cf73-49a1-ad60-d2690cb75e0d,11.29,true
"Marvel's Spider-Man 2 PS5 Online Account Activation",68358ecda29689ead2229029,61689481-8a53-40ee-a164-b4c23609ded8,32.8,true
"Marvel's Spider-Man 2 Deluxe Edition + Pre-Order Bonus DLC EU PS5 CD Key",65362261ee1df2cb4d75b9ef,3f780604-2448-44c1-9b49-85ee7cb63d36,111,true
"Marvel's Spider-Man Remastered US PS5 CD Key",6049e4ba6b2e10ae87128596,0a72f687-2820-42a9-afcd-8e1e3302ad0b,31.99,true
"Marvel's Spider-Man Remastered LATAM PS5 CD Key",667a9f2426ea3b4755126c79,92c55b94-879f-4adc-b48c-72091f6c0dfe,29.99,true
"Marvel's Spider-Man 2 NA PS5 CD Key",652f67feee1df2cb4dcea990,3c8a175c-a693-4126-adbc-cba97013eb22,61.49,true
"Marvel's Spider-Man Remastered NA PS5 CD Key",63c267214b9e40e9ea267a49,bee41359-a398-4bd4-afab-8cfcb9396e50,29.99,true
"Marvel's Spider-Man Remastered EU PS5 CD Key",5fb3b2d3b49f3407a53a059a,e5490bd0-9a2b-4acb-915f-748ba9978eb0,29.01,true
"Marvel's Spider-Man 2 EU PS5 CD Key",651fc026ee1df2cb4d9c2a14,7085be8f-5212-4cd8-aaca-80fdb5c0b4f0,87.99,true
"Forza Horizon 5 Premium Edition PS5 Account",67c6cff8aa175f17d3b677b2,5f5d5d63-12f9-44e8-b85d-a78aa75a3b7b,53.3,true
"Call of Duty: Black Ops 6 Cross-Gen Bundle US PS4 / PS5 CD Key",671e25522bf0726f72283915,3f0ea678-14bd-41f5-87d3-8bd93ecc932c,28.5,true
